Time (s),X,Y,Z,Direction
100.63999999999247,15.119999999999981,7.199999999999994,1.27,Right
100.67199999999247,15.209999999999981,7.199999999999994,1.27,Right
100.70399999999246,15.299999999999981,7.199999999999994,1.27,Right
100.73599999999246,15.389999999999981,7.199999999999994,1.27,Right
100.76799999999245,15.47999999999998,7.199999999999994,1.27,Right
100.79999999999245,15.56999999999998,7.199999999999994,1.27,Right
100.83199999999245,15.65999999999998,7.199999999999994,1.27,Right
100.86399999999244,15.74999999999998,7.199999999999994,1.27,Right
100.89599999999244,15.83999999999998,7.199999999999994,1.27,Right
100.92799999999244,15.92999999999998,7.199999999999994,1.27,Right
100.95999999999243,16.019999999999982,7.199999999999994,1.27,Right
100.99199999999243,16.10999999999998,7.199999999999994,1.27,Right
101.02399999999243,16.19999999999998,7.199999999999994,1.27,Right
101.05599999999242,16.28999999999998,7.199999999999994,1.27,Right
101.08799999999242,16.37999999999998,7.199999999999994,1.27,Right
101.11999999999242,16.46999999999998,7.199999999999994,1.27,Right
101.15199999999241,16.55999999999998,7.199999999999994,1.27,Right
101.18399999999241,16.64999999999998,7.199999999999994,1.27,Right
101.2159999999924,16.73999999999998,7.199999999999994,1.27,Right
101.2479999999924,16.82999999999998,7.199999999999994,1.27,Right
101.2799999999924,16.91999999999998,7.199999999999994,1.27,Right
101.3119999999924,17.00999999999998,7.199999999999994,1.27,Right
101.34399999999239,17.09999999999998,7.199999999999994,1.27,Right
101.37599999999239,17.18999999999998,7.199999999999994,1.27,Right
101.40799999999238,17.27999999999998,7.199999999999994,1.27,Right
101.43999999999238,17.36999999999998,7.199999999999994,1.27,Right
101.47199999999238,17.36999999999998,7.199999999999994,1.27,Stationary
101.50399999999237,17.36999999999998,7.199999999999994,1.27,Stationary
101.53599999999237,17.36999999999998,7.199999999999994,1.27,Stationary
101.56799999999237,17.36999999999998,7.199999999999994,1.27,Stationary
101.59999999999236,17.36999999999998,7.199999999999994,1.27,Stationary
101.63199999999236,17.36999999999998,7.199999999999994,1.27,Stationary
101.66399999999236,17.36999999999998,7.199999999999994,1.27,Stationary
101.69599999999235,17.36999999999998,7.109999999999994,1.27,Down
101.72799999999235,17.36999999999998,7.019999999999994,1.27,Down
101.75999999999235,17.36999999999998,6.929999999999994,1.27,Down
101.79199999999234,17.36999999999998,6.8399999999999945,1.27,Down
101.82399999999234,17.36999999999998,6.749999999999995,1.27,Down
101.85599999999233,17.36999999999998,6.659999999999995,1.27,Down
101.88799999999233,17.36999999999998,6.569999999999995,1.27,Down
